"OEC ID";"SITC ID";"Product Level";"Product Name"
"70048";"70.04.8";"Group";"Cereal preparations and preparations of flour or starch of fruits or vegetables"
"700480";"70.04.80";"Subgroup";"Cereal, flour or starch preparations of fruits or vegetables"
"7007";"70.07";"Division";"Coffee, tea, cocoa, spices, and manufactures thereof"
"70074";"70.07.4";"Group";"Tea and maté"
"700740";"70.07.40";"Subgroup";"Tea and mate"
"700742";"70.07.42";"Subgroup";"Maté"
"7008";"70.08";"Division";"Feeding stuff for animals (not including unmilled cereals)"
"70081";"70.08.1";"Group";"Feeding stuff for animals (not including unmilled cereals)"
"700813";"70.08.13";"Subgroup";"Oilcake"
"702";"70.2";"Section";"Crude materials, inedible, except fuels"
"7022";"70.22";"Division";"Oil seeds and oleaginous fruit"
"70220";"70.22.0";"Group";"Oil seeds and oleaginous fruit"
"702200";"70.22.00";"Subgroup";"Oil seeds and oleaginous fruit"
"70222";"70.22.2";"Group";"Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of 'soft' fixed vegetable oils (excluding flours and meals)"
"702222";"70.22.22";"Subgroup";"Soy Beans"
"702224";"70.22.24";"Subgroup";"Sunflower Seeds"
"702226";"70.22.26";"Subgroup";"Rape Seeds"
"70223";"70.22.3";"Group";"Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of other fixed vegetable oils (including non-defatted flours and meals of oil seeds and oleaginous fruit)"
"702230";"70.22.30";"Subgroup";"Seeds and oleaginous fruit, whole or broken, for other fixed oils"
"702234";"70.22.34";"Subgroup";"Linseed"
"702238";"70.22.38";"Subgroup";"Miscellaneous Oil Seeds and Fruits"
"702239";"70.22.39";"Subgroup";"Oil Seeds Flour"
"704";"70.4";"Section";"Animal and vegetable oils, fats and waxes"
"7042";"70.42";"Division";"Fixed vegetable oils and fats"
"70420";"70.42.0";"Group";"Fixed vegetable oils and fats"
"704200";"70.42.00";"Subgroup";"Fixed vegetable oils and fats"
"70423";"70.42.3";"Group";"Fixed vegetable oils, 'soft', crude, refined or purified"
"704230";"70.42.30";"Subgroup";"Fixed vegetable oils, soft, crude refined or purified"
"704232";"70.42.32";"Subgroup";"Soy Bean Oil"
"704234";"70.42.34";"Subgroup";"Peanut Oil"
"704236";"70.42.36";"Subgroup";"Sunflower Seed Oil"
"704239";"70.42.39";"Subgroup";"Miscellaneous Vegetable Oils"
"70424";"70.42.4";"Group";"Other fixed vegetable oils, fluid or solid, crude, refined or purified"
"704240";"70.42.40";"Subgroup";"Other fixed vegetable oils, fluid or solid, crude, refined"
"704241";"70.42.41";"Subgroup";"Linseed Oil"
"704245";"70.42.45";"Subgroup";"Castor Oil"
"704249";"70.42.49";"Subgroup";"Fixed Vegetable Oils"
"7043";"70.43";"Division";"Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
"70431";"70.43.1";"Group";"Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
"704310";"70.43.10";"Subgroup";"Animal and vegetable oils and fats, processed, and waxes"
"704311";"70.43.11";"Subgroup";"Processed Animal and Vegetable Oils"
"705";"70.5";"Section";"Chemicals and related products, n.e.s."
"7055";"70.55";"Division";"Oils and perfume materials; toilet and cleansing preparations"
"70551";"70.55.1";"Group";"Essential oils, perfume and flavour materials"
"705513";"70.55.13";"Subgroup";"Essential Oils"
"71";"71";"Category";"Cotton, rice, soy beans and others"
"710";"71.0";"Section";"Food and live animals chiefly for food"
"7104";"71.04";"Division";"Cereals and cereal preparations"
"71042";"71.04.2";"Group";"Rice"
"710420";"71.04.20";"Subgroup";"Rice"
"710421";"71.04.21";"Subgroup";"Rice"
"710422";"71.04.22";"Subgroup";"Milled Rice"
"71045";"71.04.5";"Group";"Cereals, unmilled (other than wheat, rice, barley and maize)"
"710459";"71.04.59";"Subgroup";"Miscellaneous Unmilled Cereals"
"7105";"71.05";"Division";"Vegetables and fruit"
"71057";"71.05.7";"Group";"Fruit and nuts (not including oil nuts), fresh or dried"
"710577";"71.05.77";"Subgroup";"Nuts"
"7107";"71.07";"Division";"Coffee, tea, cocoa, spices, and manufactures thereof"
"71074";"71.07.4";"Group";"Tea and maté"
"710741";"71.07.41";"Subgroup";"Tea"
"7108";"71.08";"Division";"Feeding stuff for animals (not including unmilled cereals)"
"71081";"71.08.1";"Group";"Feeding stuff for animals (not including unmilled cereals)"
"710811";"71.08.11";"Subgroup";"Hay"
"712";"71.2";"Section";"Crude materials, inedible, except fuels"
"7122";"71.22";"Division";"Oil seeds and oleaginous fruit"
"71222";"71.22.2";"Group";"Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of 'soft' fixed vegetable oils (excluding flours and meals)"
"712221";"71.22.21";"Subgroup";"Green Groundnuts"
"712223";"71.22.23";"Subgroup";"Cotton Seeds"
"712225";"71.22.25";"Subgroup";"Sesame Seeds"
"71223";"71.22.3";"Group";"Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of other fixed vegetable oils (including non-defatted flours and meals of oil seeds and oleaginous fruit)"
"712235";"71.22.35";"Subgroup";"Castor Oil Seeds"
"7126";"71.26";"Division";"Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)"
"71263";"71.26.3";"Group";"Cotton"
"712630";"71.26.30";"Subgroup";"Cotton"
"712631";"71.26.31";"Subgroup";"Raw Cotton"
"712632";"71.26.32";"Subgroup";"Cotton Linters"
"712634";"71.26.34";"Subgroup";"Cotton"
"71264";"71.26.4";"Group";"Jute and other textile bast fibres, n.e.s., raw or processed but not spun; tow and waste thereof (including pulled or garnetted rags or ropes)"
"712640";"71.26.40";"Subgroup";"Jute"
"71265";"71.26.5";"Group";"Vegetable textile fibres (other than cotton and jute) and waste or such fibres"
"712650";"71.26.50";"Subgroup";"Vegetable textile fibres, excluding cotton, jute, and waste"
"712654";"71.26.54";"Subgroup";"Agave Fibers"
"71267";"71.26.7";"Group";"Other man-made fibres suitable for spinning and waste of man-made fibres"
"712670";"71.26.70";"Subgroup";"Other man-made fibres suitable for spinning, and waste"
"7129";"71.29";"Division";"Crude animal and vegetable materials, n.e.s."
"71292";"71.29.2";"Group";"Crude vegetable materials, n.e.s."
"712922";"71.29.22";"Subgroup";"Natural Gums"
"714";"71.4";"Section";"Animal and vegetable oils, fats and waxes"
"7142";"71.42";"Division";"Fixed vegetable oils and fats"
"71423";"71.42.3";"Group";"Fixed vegetable oils, 'soft', crude, refined or purified"
"714233";"71.42.33";"Subgroup";"Cotton Seed Oil"
"716";"71.6";"Section";"Manufactured goods classified chiefly by material"
"7165";"71.65";"Division";"Textile yarn, fabrics, made-up articles, n.e.s., and related products"
"71654";"71.65.4";"Group";"Textile fabrics, woven, other than of cotton or man-made fibres"
"716545";"71.65.45";"Subgroup";"Jute Woven Fabrics"
"72";"72";"Category";"Tropical treecrops and flowers"
"720";"72.0";"Section";"Food and live animals chiefly for food"
"7205";"72.05";"Division";"Vegetables and fruit"
"72057";"72.05.7";"Group";"Fruit and nuts (not including oil nuts), fresh or dried"
"720573";"72.05.73";"Subgroup";"Bananas"
"7206";"72.06";"Division";"Sugar, sugar preparations and honey"
"72061";"72.06.1";"Group";"Sugar and honey"
"720611";"72.06.11";"Subgroup";"Cane Sugar"
"7207";"72.07";"Division";"Coffee, tea, cocoa, spices, and manufactures thereof"
"72072";"72.07.2";"Group";"Cocoa"
"720720";"72.07.20";"Subgroup";"Cocoa"
"720721";"72.07.21";"Subgroup";"Cocoa Beans"
"720722";"72.07.22";"Subgroup";"Unsweetened Cocoa Powder"
"720723";"72.07.23";"Subgroup";"Cocoa Butter"
"722";"72.2";"Section";"Crude materials, inedible, except fuels"
"7222";"72.22";"Division";"Oil seeds and oleaginous fruit"
"72223";"72.22.3";"Group";"Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of other fixed vegetable oils (including non-defatted flours and meals of oil seeds and oleaginous fruit)"
"722231";"72.22.31";"Subgroup";"Copra"
"722232";"72.22.32";"Subgroup";"Palm Nuts and Kernels"
"7223";"72.23";"Division";"Crude rubber (including synthetic and reclaimed)"
"72232";"72.23.2";"Group";"Natural rubber latex; natural rubber and similar natural gums"
"722320";"72.23.20";"Subgroup";"Natural Rubber"
"7226";"72.26";"Division";"Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)"
"72265";"72.26.5";"Group";"Vegetable textile fibres (other than cotton and jute) and waste or such fibres"
"722659";"72.26.59";"Subgroup";"Miscellaneous Vegetable Textile Fibres"
"7229";"72.29";"Division";"Crude animal and vegetable materials, n.e.s."
"72292";"72.29.2";"Group";"Crude vegetable materials, n.e.s."
"722925";"72.29.25";"Subgroup";"Planting Seeds and Spores"
"722926";"72.29.26";"Subgroup";"Live Plants"
"722927";"72.29.27";"Subgroup";"Flowers"
"724";"72.4";"Section";"Animal and vegetable oils, fats and waxes"
"7242";"72.42";"Division";"Fixed vegetable oils and fats"
"72424";"72.42.4";"Group";"Other fixed vegetable oils, fluid or solid, crude, refined or purified"
"724242";"72.42.42";"Subgroup";"Palm Oil"
"724243";"72.42.43";"Subgroup";"Coconut Oil"
"724244";"72.42.44";"Subgroup";"Palm Kernel Oil"
"7243";"72.43";"Division";"Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
"72431";"72.43.1";"Group";"Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
"724314";"72.43.14";"Subgroup";"Waxes"
"73";"73";"Category";"Tobacco"
"731";"73.1";"Section";"Beverages and tobacco"
"7312";"73.12";"Division";"Tobacco and tobacco manufactures"
"73121";"73.12.1";"Group";"Tobacco unmanufactured; tobacco refuse"
"731210";"73.12.10";"Subgroup";"Tobacco unmanufactured; tobacco refuse"
"731211";"73.12.11";"Subgroup";"Unstripped Tobacco"
"731212";"73.12.12";"Subgroup";"Stripped Tobacco"
"731213";"73.12.13";"Subgroup";"Tobacco Refuse"
"73122";"73.12.2";"Group";"Tobacco, manufactured"
"731220";"73.12.20";"Subgroup";"Manufactured tobacco"
"731222";"73.12.22";"Subgroup";"Cigarretes"
"731223";"73.12.23";"Subgroup";"Tobacco Substitutes"
"732";"73.2";"Section";"Crude materials, inedible, except fuels"
"7326";"73.26";"Division";"Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)"
"73265";"73.26.5";"Group";"Vegetable textile fibres (other than cotton and jute) and waste or such fibres"
"732655";"73.26.55";"Subgroup";"Manila Hemp"
"74";"74";"Category";"Fruit"
"740";"74.0";"Section";"Food and live animals chiefly for food"
"7405";"74.05";"Division";"Vegetables and fruit"
"74057";"74.05.7";"Group";"Fruit and nuts (not including oil nuts), fresh or dried"
"740571";"74.05.71";"Subgroup";"Oranges"
"740572";"74.05.72";"Subgroup";"Miscellaneous Citrus"
"740574";"74.05.74";"Subgroup";"Apples"
"740575";"74.05.75";"Subgroup";"Grapes and Raisins"
"75";"75";"Category";"Misc Agriculture"
"7504";"75.04";"Division";"Cereals and cereal preparations"
"75045";"75.04.5";"Group";"Cereals, unmilled (other than wheat, rice, barley and maize)"
"750452";"75.04.52";"Subgroup";"Unmilled Oats"
"75046";"75.04.6";"Group";"Meal and flour of wheat and flour of meslin"
"750460";"75.04.60";"Subgroup";"Wheat Flour"
"75047";"75.04.7";"Group";"Other cereal meals and flours"
"750470";"75.04.70";"Subgroup";"Non-Wheat Cereal Flour"
"75048";"75.04.8";"Group";"Cereal preparations and preparations of flour or starch of fruits or vegetables"
"750481";"75.04.81";"Subgroup";"Miscellaneous Cereal Grains"
"750482";"75.04.82";"Subgroup";"Malt"
"750488";"75.04.88";"Subgroup";"Malt Extract"
"7505";"75.05";"Division";"Vegetables and fruit"
"75054";"75.05.4";"Group";"Vegetables, fresh, chilled, frozen or slmply preserved (including dried leguminous vegetables); roots, tubers and other edible vegetable products, n.e.s., fresh or dried"
"750541";"75.05.41";"Subgroup";"Potatoes"
"750542";"75.05.42";"Subgroup";"Legumes"
"750544";"75.05.44";"Subgroup";"Tomatoes"
"750548";"75.05.48";"Subgroup";"Miscellaneous Root and Tuber Vegetables"
"75057";"75.05.7";"Group";"Fruit and nuts (not including oil nuts), fresh or dried"
"750576";"75.05.76";"Subgroup";"Figs"
"75058";"75.05.8";"Group";"Fruit, preserved, and fruits preparations"
"750582";"75.05.82";"Subgroup";"Fruit Preserved by Sugar"
"7506";"75.06";"Division";"Sugar, sugar preparations and honey"
"75061";"75.06.1";"Group";"Sugar and honey"
"750612";"75.06.12";"Subgroup";"Refined Sugars"
"750615";"75.06.15";"Subgroup";"Molasses"
"7507";"75.07";"Division";"Coffee, tea, cocoa, spices, and manufactures thereof"
"75071";"75.07.1";"Group";"Coffee and coffee substitutes"
"750710";"75.07.10";"Subgroup";"Coffee and coffee substitutes"
"750711";"75.07.11";"Subgroup";"Coffee"
"75075";"75.07.5";"Group";"Spices"
"750750";"75.07.50";"Subgroup";"Spices"
"750751";"75.07.51";"Subgroup";"Pepper"
"750752";"75.07.52";"Subgroup";"Spices"
"7508";"75.08";"Division";"Feeding stuff for animals (not including unmilled cereals)"
"75081";"75.08.1";"Group";"Feeding stuff for animals (not including unmilled cereals)"
"750812";"75.08.12";"Subgroup";"Bran and Other Cereals Residues"
"752";"75.2";"Section";"Crude materials, inedible, except fuels"
"7524";"75.24";"Division";"Cork and wood"
"75244";"75.24.4";"Group";"Cork, natural, raw and waste (including natural cork in blocks or sheets)"
"752440";"75.24.40";"Subgroup";"Raw Cork"
"7529";"75.29";"Division";"Crude animal and vegetable materials, n.e.s."
"75292";"75.29.2";"Group";"Crude vegetable materials, n.e.s."
"752923";"75.29.23";"Subgroup";"Vegetable Plaiting Materials"
"752924";"75.29.24";"Subgroup";"Pharmaceutical Flora"
"752929";"75.29.29";"Subgroup";"Miscellaneous Vegetable Origin Materials"
"80";"80";"Category";"Fish & Seafood"
"800";"80.0";"Section";"Food and live animals chiefly for food"
"8001";"80.01";"Division";"Meat and meat preparations"
"80014";"80.01.4";"Group";"Meat and edible meat offal, prepared, preserved, n.e.s.; fish extracts"
"800140";"80.01.40";"Subgroup";"Preserved fish"
"8003";"80.03";"Division";"Fish, crustacean and molluscs, and preparations thereof"
"80034";"80.03.4";"Group";"Fish, fresh (live or dead), chilled or frozen"
"800340";"80.03.40";"Subgroup";"Fish"
"800341";"80.03.41";"Subgroup";"Fresh Fish"
"800342";"80.03.42";"Subgroup";"Frozen Fish"
"800343";"80.03.43";"Subgroup";"Fish fillets"
"800344";"80.03.44";"Subgroup";"Frozen Fish Fillets"
"80035";"80.03.5";"Group";"Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)"
"800350";"80.03.50";"Subgroup";"Fish, preserved"
"80036";"80.03.6";"Group";"Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water"
"800360";"80.03.60";"Subgroup";"Crustaceans and Molluscs"
"80037";"80.03.7";"Group";"Fish, crustaceans and molluscs, prepared or preserved, n.e.s."
"800370";"80.03.70";"Subgroup";"Fish, crustaceans and molluscs, misc"
"800371";"80.03.71";"Subgroup";"Miscellaneous Fish"
"800372";"80.03.72";"Subgroup";"Crustaceans and molluscs, misc"
"8008";"80.08";"Division";"Feeding stuff for animals (not including unmilled cereals)"
"80081";"80.08.1";"Group";"Feeding stuff for animals (not including unmilled cereals)"
"800814";"80.08.14";"Subgroup";"Inedible Flours of Meat and Fish"
"802";"80.2";"Section";"Crude materials, inedible, except fuels"
"8029";"80.29";"Division";"Crude animal and vegetable materials, n.e.s."
"80291";"80.29.1";"Group";"Crude animal materials, n.e.s."
"802911";"80.29.11";"Subgroup";"Bones, Ivory and Horns"
"804";"80.4";"Section";"Animal and vegetable oils, fats and waxes"
"8041";"80.41";"Division";"Animal oils and fats"
"80411";"80.41.1";"Group";"Animal oils and fats"
"804110";"80.41.10";"Subgroup";"Animal oils and fats"
"804111";"80.41.11";"Subgroup";"Fat and Oils of Marine Animals"
"81";"81";"Category";"Meat and eggs"
"810";"81.0";"Section";"Food and live animals chiefly for food"
"8100";"81.00";"Division";"Live animals chiefly for food"
"81001";"81.00.1";"Group";"Live animals chiefly for food"
"810011";"81.00.11";"Subgroup";"Bovine"
"810012";"81.00.12";"Subgroup";"Sheep and goat"
"810013";"81.00.13";"Subgroup";"Swine"
"810014";"81.00.14";"Subgroup";"Poultry"
"810015";"81.00.15";"Subgroup";"Equine"
"810019";"81.00.19";"Subgroup";"live animals used for food, misc"
"8101";"81.01";"Division";"Meat and meat preparations"
"81011";"81.01.1";"Group";"Meat and edible meat offal, fresh, chilled or frozen (except meat and meat offals unfit or unsuitable for human consumption)"
"810111";"81.01.11";"Subgroup";"Bovine meat"
"810112";"81.01.12";"Subgroup";"Sheep and Goat Meat"
"810113";"81.01.13";"Subgroup";"Pig Meat"
"810114";"81.01.14";"Subgroup";"Poultry meat"
"810115";"81.01.15";"Subgroup";"Horse Meat"
"810116";"81.01.16";"Subgroup";"Bovine and Equine Entrails"
"810118";"81.01.18";"Subgroup";"Animal meat, misc"
"81012";"81.01.2";"Group";"Meat and edible meat offals (except poultry liver), salted, in brine, dried, or smoked"
"810120";"81.01.20";"Subgroup";"Preserved meat"
"810129";"81.01.29";"Subgroup";"Preserved meat"
"81014";"81.01.4";"Group";"Meat and edible meat offal, prepared, preserved, n.e.s.; fish extracts"
"810141";"81.01.41";"Subgroup";"Meat and fish extract"
"810142";"81.01.42";"Subgroup";"Sausage"
"810149";"81.01.49";"Subgroup";"Miscellaneous Prepared Meats"
"8102";"81.02";"Division";"Dairy products and birds' eggs"
"81025";"81.02.5";"Group";"Eggs, birds', and egg yolks, fresh, dried or otherwise preserved, sweetened or not"
"810250";"81.02.50";"Subgroup";"Eggs"
"810251";"81.02.51";"Subgroup";"Eggs, in shell"
"810252";"81.02.52";"Subgroup";"Eggs, Shelled"
"8106";"81.06";"Division";"Sugar, sugar preparations and honey"
"81061";"81.06.1";"Group";"Sugar and honey"
"810616";"81.06.16";"Subgroup";"Honey"
"8109";"81.09";"Division";"Miscellaneous edible products and preparations"
"81091";"81.09.1";"Group";"Margarine and shortening"
"810913";"81.09.13";"Subgroup";"Lard"
"814";"81.4";"Section";"Animal and vegetable oils, fats and waxes"
"8141";"81.41";"Division";"Animal oils and fats"
"81411";"81.41.1";"Group";"Animal oils and fats"
"814113";"81.41.13";"Subgroup";"Miscellaneous Animal Oils"
"816";"81.6";"Section";"Manufactured goods classified chiefly by material"
"8161";"81.61";"Division";"Leather, leather manufactures, n.e.s., and dressed furskins"
"81613";"81.61.3";"Group";"Furskins, tanned or dressed (including furskins assembled in plates, crosses and similar forms); pieces of cuttings of  furskins, tanned or dressed (including heads, paws, tails and the like, not being fabricated)"
"816130";"81.61.30";"Subgroup";"Tanned Furskins"
"818";"81.8";"Section";"Miscellaneous manufactured articles"
"8184";"81.84";"Division";"Articles of apparel and clothing accessories"
"81848";"81.84.8";"Group";"Articles of apparml and clothing accessories, of leather or of composition leather"
"818483";"81.84.83";"Subgroup";"Fur Clothing"
"82";"82";"Category";"Animal Fibers"
"822";"82.2";"Section";"Crude materials, inedible, except fuels"
"8226";"82.26";"Division";"Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)"
"82268";"82.26.8";"Group";"Wool and other animal hair (excluding wool tops)"
"822680";"82.26.80";"Subgroup";"Wool and other animal hair (excluding tops)"
"822681";"82.26.81";"Subgroup";"Greasy Wool"
"822682";"82.26.82";"Subgroup";"Degreased Sheep Wool"
"822683";"82.26.83";"Subgroup";"Fine Animal Hair"
"822685";"82.26.85";"Subgroup";"Coarse Animal Hair"
"822686";"82.26.86";"Subgroup";"Wood and Animal Hair Waste"
"822687";"82.26.87";"Subgroup";"Carded Animal Hair"
"8229";"82.29";"Division";"Crude animal and vegetable materials, n.e.s."
"82291";"82.29.1";"Group";"Crude animal materials, n.e.s."
"822910";"82.29.10";"Subgroup";"Crude animal materials"
"82292";"82.29.2";"Group";"Crude vegetable materials, n.e.s."
"822920";"82.29.20";"Subgroup";"Crude vegetable materials, nes"
"826";"82.6";"Section";"Manufactured goods classified chiefly by material"
"8265";"82.65";"Division";"Textile yarn, fabrics, made-up articles, n.e.s., and related products"
